o,d,f
74CÑ,62CÑ,132
74MA,62MA,149
74MA,68MA,224
74MA,73MA,584
74MA,75MA,388
74TO,48TO,196
74TO,75TO,129
74TO,76TO,419
74ZA,45ZA,100
74ZA,46ZA,364
74ZA,64ZA,309
74ZA,73ZA,529
74ZA,75ZA,482
75BI,27BI,330
75BI,37BI,851
75BI,42BI,177
75BI,44BI,346
75BI,74BI,1026
75BI,76BI,640
75MA,74MA,337
75MA,76MA,425
75MA,77MA,536
75TO,74TO,145
75TO,76TO,121
75ZA,65ZA,157
75ZA,69ZA,166
75ZA,71ZA,100
75ZA,73ZA,153
75ZA,74ZA,172
76BI,37BI,981
76BI,42BI,554
76BI,44BI,358
76BI,46BI,137
76BI,75BI,433
76CÑ,23CÑ,260
76CÑ,77CÑ,121
76CÑ,80CÑ,242
76MA,68MA,401
76MA,70MA,267
76MA,75MA,592
76MA,77MA,520
76TO,74TO,377
76TO,75TO,115
77CÑ,76CÑ,177
77CÑ,78CÑ,189
77CÑ,79CÑ,112
77CÑ,80CÑ,127
77MA,70MA,315
77MA,75MA,374
77MA,76MA,192
77MA,78MA,146
78CÑ,77CÑ,208
78CÑ,79CÑ,514
78MA,26MA,118
78MA,58MA,211
78MA,70MA,103
78MA,71MA,105
78MA,77MA,162
79CÑ,78CÑ,447
79CÑ,80CÑ,608
79MA,46MA,365
79MA,47MA,310
79MA,48MA,178
79MA,53MA,411
79MA,80MA,143
80CÑ,23CÑ,124
80CÑ,76CÑ,215
80CÑ,79CÑ,456
80GR,83GR,105
80GR,84GR,237
80MA,79MA,162
81CÑ,18PO,138
81CÑ,23CÑ,347
81CÑ,76CÑ,179
81CÑ,79CÑ,141
81CÑ,80CÑ,132
81CÑ,83CÑ,269
81GR,83GR,425
81GR,84GR,135
82CÑ,59CÑ,145
82GR,83GR,190
83CÑ,18PO,124
83CÑ,81CÑ,159
83GR,81GR,214
83GR,84GR,219
84GR,60GR,125
84GR,80GR,303
84GR,83GR,153
85GR,33GR,342
IB02,IB29,370
IB03,IB38,103
IB04,IB33,181
IB05,IB16,109
IB09,IB08,101
IB09,IB29,101
IB15,IB18,199
IB15,IB35,101
IB15,IB36,405
IB16,IB05,186
IB18,IB15,174
IB19,IB29,151
IB19,IB30,111
IB20,IB34,130
IB20,IB57,136
IB21,IB53,126
IB22,IB31,106
IB26,IB33,216
IB26,IB47,131
IB28,IB39,110
IB28,IB40,536
IB28,IB44,586
IB29,IB02,404
IB29,IB08,113
IB29,IB09,164
IB29,IB19,154
IB29,IB30,190
IB30,IB29,129
IB31,IB21,126
IB31,IB22,134
IB31,IB66,228
IB32,IB50,278
IB33,IB04,187
IB33,IB26,226
IB33,IB42,251
IB33,IB49,110
IB34,IB57,385
IB34,IB60,238
IB34,IB64,334
IB35,IB38,130
IB35,IB45,111
IB36,IB15,417
IB38,IB03,108
IB38,IB35,129
IB39,IB28,125
IB39,IB40,446
IB39,IB44,190
IB40,IB28,657
IB40,IB39,409
IB41,IB44,213
IB42,IB33,200
IB43,IB32,102
IB44,IB28,543
IB44,IB39,149
IB44,IB41,182
IB45,IB18,107
IB47,IB26,132
IB50,IB32,379
IB51,IB52,110
IB52,IB51,162
IB52,IB58,135
IB53,IB21,151
IB53,IB54,133
IB53,IB56,198
IB54,IB34,139
IB54,IB53,131
IB54,IB55,193
IB54,IB56,172
IB54,IB57,382
IB54,IB59,224
IB55,IB54,314
IB55,IB56,602
IB55,IB57,114
IB55,IB59,321
IB56,IB53,249
IB56,IB54,203
IB56,IB55,498
IB57,IB20,123
IB57,IB34,388
IB57,IB54,210
IB57,IB58,195
IB57,IB59,251
IB57,IB60,131
IB57,IB62,104
IB58,IB57,416
IB58,IB59,378
IB58,IB62,228
IB59,IB54,288
IB59,IB55,301
IB59,IB57,684
IB59,IB58,498
IB60,IB34,443
IB60,IB57,389
IB60,IB61,131
IB60,IB62,459
IB60,IB64,152
IB61,IB51,105
IB61,IB60,215
IB61,IB62,675
IB61,IB63,675
IB62,IB57,216
IB62,IB58,249
IB62,IB60,424
IB62,IB61,436
IB63,IB31,205
IB63,IB34,135
IB63,IB51,125
IB63,IB60,105
IB63,IB61,512
IB63,IB62,111
IB63,IB64,123
IB63,IB65,288
IB64,IB34,262
IB64,IB66,239
IB65,IB31,100
IB65,IB63,260
IB65,IB64,250
IB66,IB31,239
IB66,IB64,430
098A,001A,102
253B,001B,179
255B,001B,155
023A,002A,156
058A,002A,563
074B,002B,190
001V,002V,156
049V,002V,132
021A,003A,111
060M,003M,116
075V,003V,170
142V,003V,315
005A,004A,168
031A,004A,112
003M,004M,110
005V,004V,114
006V,004V,172
049V,004V,107
004A,005A,168
031A,005A,112
036A,005A,141
057A,005A,122
007M,005M,116
006V,005V,113
037S,006S,114
039S,006S,102
004V,006V,123
005V,006V,178
008A,007A,154
008B,007B,106
142B,007B,129
005M,007M,110
107V,007V,226
054A,008A,137
084A,008A,130
085A,008A,116
055M,008M,139
009V,008V,124
008V,009V,141
062V,009V,111
026A,010A,241
064A,010A,222
306B,010B,152
049S,010S,370
012B,011B,372
081B,011B,244
083B,011B,137
013A,012A,103
035A,012A,155
067A,012A,291
069A,012A,258
070A,012A,170
071A,012A,108
072A,012A,753
011B,012B,205
035A,013A,165
049A,013A,112
072A,013A,241
095B,013B,152
134B,013B,105
143B,013B,127
45CZ,013S,149
147V,013V,152
015A,014A,381
043A,014A,161
123B,014B,190
028S,014S,125
013V,014V,108
014A,015A,221
114B,015B,160
264B,015B,138
265B,015B,147
266B,015B,183
016S,015S,361
116S,015S,256
149V,015V,539
088B,016B,107
089B,016B,473
097B,016B,140
015S,016S,1086
043S,016S,254
062S,016S,154
116S,016S,836
117S,016S,231
44CZ,016S,166
029V,016V,156
111V,016V,238
135V,016V,240
155V,016V,102
165V,016V,130
050A,017A,105
110B,017B,180
56TO,017M,202
066S,017S,704
25CZ,017S,148
059V,017V,115
065V,017V,257
082V,017V,192
126V,017V,255
160V,017V,104
048V,018V,114
065V,018V,259
082V,018V,151
132B,019B,117
071S,019S,193
118S,019S,102
047V,019V,179
133V,019V,130
147V,019V,416
02AB,01AB,189
14AB,01AB,102
16AB,01AB,112
23AB,01AB,2096
24AB,01AB,1530
25AB,01AB,945
26AB,01AB,1265
27AB,01AB,421
28AB,01AB,843
29AB,01AB,958
24AL,01AL,219
02AV,01AV,469
03AV,01AV,243
22AV,01AV,147
01CC,01BA,124
26BU,01BU,200
51CA,01CA,198
52CA,01CA,212
01BA,01CC,157
03CE,01CE,448
04CE,01CE,439
05CE,01CE,212
06CE,01CE,110
54CO,01CO,198
29CR,01CR,132
39CR,01CR,315
40CR,01CR,918
41CR,01CR,308
42CR,01CR,287
20CZ,01CZ,117
52CÑ,01CÑ,123
05GI,01GI,124
58GI,01GI,221
13GR,01GR,147
44GR,01GR,122
58GR,01GR,187
22HS,01HS,119
33HU,01HU,381
02JA,01JA,506
55JA,01JA,186
50LE,01LE,547
51LE,01LE,297
52LE,01LE,163
53LE,01LE,111
13LL,01LL,288
15LL,01LL,117
16LL,01LL,119
21LL,01LL,138
32LL,01LL,275
35LL,01LL,112
46LL,01LL,439
47LL,01LL,310
49LL,01LL,333
50LL,01LL,294
51LL,01LL,858
34LU,01LU,398
35LU,01LU,110
06ME,01ME,104
06OU,01OU,137
03PA,01PA,225
18PA,01PA,489
22PO,01PO,160
22SG,01SG,135
10SO,01SO,146
02TA,01TA,122
71TA,01TA,136
47TF,01TF,220
48TF,01TF,239
49TF,01TF,116
51TF,01TF,101
52TF,01TF,146
09VI,01VI,107
02ZA,01ZA,184
22ZM,01ZM,186
028A,020A,154
146B,020B,135
069M,020M,106
036S,020S,225
054S,020S,313
022V,020V,101
105V,020V,174
003A,021A,177
031A,021A,249
057A,021A,126
090A,021A,719
092A,021A,101
146B,021B,163
023S,021S,172
024S,021S,365
024A,022A,462
049A,022A,617
065S,022S,174
020V,022V,153
105V,022V,584
002A,023A,180
031A,023A,202
058A,023A,175
024B,023B,111
021S,023S,106
024S,023S,661
020V,023V,113
022A,024A,517
029A,024A,148
049A,024A,356
022B,024B,101
146B,024B,192
021S,024S,429
023S,024S,1083
039S,024S,159
044S,024S,396
045S,024S,105
047S,024S,471
048S,024S,408
058S,024S,427
081S,024S,178
084S,024S,174
085S,024S,236
105S,024S,181
121S,024S,122
048A,025A,400
277B,025B,115
278B,025B,734
028M,025M,637
069S,025S,465
010A,026A,219
027B,026B,292
39GI,026B,340
042M,026M,166
026B,027B,226
079B,027B,302
099B,027B,217
39GI,027B,254
063S,027S,109
018A,028A,118
020A,028A,136
029A,028A,118
112B,028B,221
132B,028B,210
135M,028M,142
014S,028S,145
064S,028S,330
022A,029A,137
024A,029A,118
028A,029A,191
041M,029M,100
047M,029M,120
098M,029M,625
016V,029V,147
068V,029V,277
101V,029V,183
18AL,02AL,101
20AL,02AL,115
45AL,02AL,281
01AV,02AV,461
03AV,02AV,351
22AV,02AV,180
03BA,02BA,321
04BA,02BA,111
57BA,02BA,434
58BA,02BA,273
60BA,02BA,176
61BA,02BA,354
38CA,02CA,359
03CO,02CO,285
05CO,02CO,205
06CO,02CO,183
12CO,02CO,336
26CO,02CO,284
28CO,02CO,222
30CO,02CO,164
31CO,02CO,152
32CO,02CO,529
33CO,02CO,140
34CO,02CO,664
35CO,02CO,369
36CO,02CO,360
37CO,02CO,672
38CO,02CO,1032
39CO,02CO,189
44CO,02CO,109
51CO,02CO,216
52CO,02CO,324
55CO,02CO,107
41TA,02CS,208
33GC,02GC,598
58GI,02GI,269
21GP,02GP,167
28HS,02HS,127
01JA,02JA,630
55JA,02JA,221
56JA,02JA,172
58JA,02JA,185
19LO,02LO,132
01ME,02ME,113
06ME,02ME,170
10MU,02MU,202
22PA,02PA,146
24PA,02PA,162
27SA,02SA,242
30SA,02SA,131
31SA,02SA,110
34SA,02SA,350
10SO,02SO,624
13TF,02TF,311
18TF,02TF,175
24BU,02VI,537
03ZM,02ZM,266
05ZM,02ZM,111
21ZM,02ZM,305
22ZM,02ZM,247
056A,030A,111
056M,030M,239
059M,030M,114
124M,030M,134
295M,030M,104
103V,030V,244
004A,031A,140
021A,031A,112
050S,031S,107
068S,031S,478
115S,031S,182
047A,032A,119
060A,032A,337
108A,032A,212
057M,032M,118
041S,032S,319
050S,032S,153
054S,032S,267
059S,032S,143
114S,032S,197
076V,032V,144
042A,033A,121
051A,033A,267
034B,033B,162
144B,033B,231
033B,034B,126
144B,034B,151
052M,034M,165
086M,034M,169
080B,035B,160
105B,035B,169
057S,035S,105
036V,035V,106
005A,036A,132
083A,036A,200
037B,036B,107
140B,036B,120
140M,036M,194
53TO,036M,203
041S,036S,239
094S,036S,138
114S,036S,153
093V,037A,132
036B,037B,134
140B,037B,263
006S,037S,179
151V,037V,262
034A,038A,103
144B,038B,329
063A,039A,265
076A,039A,223
045M,039M,119
006S,039S,113
024S,039S,117
058S,039S,257
060S,039S,116
069S,039S,271
119S,039S,100
121S,039S,930
18AL,03AL,350
01AV,03AV,215
02AV,03AV,338
22AV,03AV,517
02BA,03BA,268
73BI,03BI,108
25BU,03BU,103
26BU,03BU,260
30BU,03BU,154
46CA,03CA,178
50CA,03CA,116
35CC,03CC,113
01CE,03CE,261
04CE,03CE,209
53TA,03CS,110
52CÑ,03CÑ,105
15GC,03GC,246
42GI,03GI,113
40GP,03GP,323
22GU,03GU,146
24GU,03GU,186
43JA,03JA,157
53LE,03LE,160
23LO,03LO,439
24LO,03LO,278
25LO,03LO,234
26LO,03LO,268
04LU,03LU,204
34LU,03LU,104
35LU,03LU,170
53MA,03MA,181
06ME,03ME,308
003A,03MU,100
19MU,03MU,139
05OU,03OU,140
30OU,03OU,115
01PA,03PA,264
05SA,03SA,100
34SA,03SA,157
01TA,03TA,100
31TA,03TA,102
42TA,03TA,156
50TA,03TA,102
19TF,03TF,455
57TF,03TF,252
44ZA,03ZA,114
01ZM,03ZM,153
02ZM,03ZM,592
21ZM,03ZM,152
22ZM,03ZM,151
043B,040B,102
082M,040M,319
058A,041A,106
059A,041A,104
043B,041B,119
053B,041B,319
032S,041S,217
036S,041S,250
114S,041S,159
044V,041V,116
159V,041V,178
026M,042M,159
059S,042S,101
063S,042S,194
068S,042S,296
014A,043A,172
020A,043A,119
040A,043A,109
041B,043B,125
053B,043B,348
066M,043M,647
028M,044M,125
024S,044S,219
045S,044S,255
047S,044S,219
041V,044V,140
025A,045A,104
048A,045A,404
039M,045M,109
072M,045M,185
098M,045M,554
044S,045S,473
046S,045S,468
047S,045S,456
048S,045S,156
008A,046A,110
048A,046A,115
068B,046B,139
081B,046B,218
093B,046B,259
045S,046S,374
047S,046S,327
048S,046S,342
077V,046V,301
080V,046V,326
098V,046V,540
121V,046V,167
140V,046V,150
032A,047A,127
060A,047A,394
106A,047A,277
082B,047B,412
138B,047B,118
029M,047M,136
098M,047M,132
024S,047S,365
044S,047S,447
045S,047S,526
046S,047S,525
048S,047S,675
025V,047V,127
083V,047V,216
135V,047V,257
025A,048A,398
045A,048A,344
046A,048A,123
054B,048B,103
070B,048B,137
071B,048B,182
077B,048B,113
128B,048B,121
024S,048S,494
042S,048S,103
044S,048S,107
045S,048S,345
046S,048S,437
047S,048S,939
059S,048S,115
085S,048S,216
089S,048S,273
090S,048S,124
091S,048S,152
111S,048S,300
018V,048V,100
104V,048V,196
022A,049A,433
024A,049A,252
056A,049A,167
050B,049B,114
108M,049M,157
109M,049M,181
284M,049M,126
007S,049S,231
008S,049S,155
010S,049S,498
26CO,049S,207
56CO,049S,261
002V,049V,236
29LU,04AS,247
02BA,04BA,113
05BA,04BA,127
50BA,04BA,363
23BI,04BI,217
27CA,04CA,274
01CE,04CE,333
03CE,04CE,310
05CE,04CE,203
28CR,04CR,127
26CU,04CU,153
69CÑ,04CÑ,207
08GC,04GC,101
53GP,04GP,106
54GR,04GR,109
27HS,04HS,230
29HS,04HS,132
40HU,04HU,179
03LU,04LU,128
05LU,04LU,324
34LU,04LU,166
35LU,04LU,395
01ME,04ME,145
02ME,04ME,163
06ME,04ME,365
18MU,04MU,129
55NA,04NA,128
56NA,04NA,140
61NA,04NA,155
65NA,04NA,282
01OU,04OU,124
03OU,04OU,123
33OU,04OU,115
05CÑ,04PO,210
33PO,04PO,142
58CÑ,04PO,161
66CÑ,04PO,224
52TA,04TA,127
22TF,04TF,154
35TF,04TF,119
41VA,04VA,159
13VI,04VI,217
052A,050A,108
049B,050B,104
031S,050S,131
032S,050S,282
054S,050S,210
115S,050S,107
118S,050S,348
164V,050V,112
033A,051A,239
262B,051B,387
263B,051B,121
075V,051V,121
089V,051V,399
142V,051V,106
040A,052A,101
050A,052A,101
19GU,052M,137
059S,052S,102
072S,052S,124
112S,052S,173
041B,053B,236
043B,053B,233
065M,053M,618
075M,053M,146
008A,054A,127
085A,054A,215
086A,054A,188
115B,054B,135
020S,054S,167
032S,054S,289
050S,054S,159
096V,054V,134
36MU,055A,353
051B,055B,135
056B,055B,120
120B,055B,230
262B,055B,396
263B,055B,128
008M,055M,132
18AB,055V,147
024A,056A,120
101B,056B,380
118B,056B,348
120B,056B,399
122B,056B,158
030M,056M,345
16CS,056V,157
090A,057A,251
032M,057M,106
098M,057M,160
123S,057S,129
146V,057V,112
164V,057V,107
002A,058A,378
023A,058A,107
059A,058A,111
099B,058B,384
024S,058S,236
039S,058S,114
058A,059A,112
124M,059M,188
063S,059S,133
072S,059S,455
114S,059S,210
017V,059V,135
126V,059V,146
31AS,05AS,428
04BA,05BA,147
25BI,05BI,185
01CE,05CE,129
03CE,05CE,141
04CE,05CE,147
06CE,05CE,130
04CO,05CO,115
12CO,05CO,218
19CR,05CR,245
04PO,05CÑ,187
61CÑ,05CÑ,236
10GC,05GC,811
33GC,05GC,1214
01GI,05GI,104
40GP,05GP,129
04HU,05HU,121
44LE,05LE,102
04LU,05LU,491
34LU,05LU,402
35LU,05LU,379
06ME,05ME,390
26AL,05MU,242
04NA,05NA,101
46NA,05NA,131
55NA,05NA,105
58NA,05NA,328
61NA,05NA,134
62NA,05NA,260
63NA,05NA,109
03OU,05OU,104
08OU,05OU,109
30OU,05OU,117
31OU,05OU,179
32OU,05OU,184
33OU,05OU,109
14PO,05PO,195
17PO,05PO,155
03SA,05SA,181
33SA,05SA,129
10SO,05SO,189
02ZM,05ZM,139
032A,060A,321
047A,060A,428
107A,060A,181
108A,060A,179
070B,060B,321
242B,060B,145
243B,060B,256
003M,060M,139
039S,060S,131
064S,060S,106
067S,060S,223
131V,060V,311
019B,061B,100
076B,061B,155
111B,061B,134
065M,061M,111
136M,061M,169
076V,061V,117
083A,062A,209
081B,062B,249
109B,062B,564
272B,062B,110
016S,062S,126
039A,063A,131
290M,063M,270
291M,063M,363
292M,063M,346
293M,063M,225
042S,063S,261
059S,063S,165
094V,063V,202
010A,064A,123
19AB,064A,140
028S,064S,350
073V,064V,155
082V,064V,144
136V,064V,167
31MU,065A,143
053M,065M,375
100M,065M,463
101M,065M,492
133M,065M,216
137M,065M,317
138M,065M,312
017V,065V,196
018V,065V,237
082V,065V,125
067A,066A,161
068A,066A,135
070A,066A,128
311B,066B,110
313B,066B,116
43TA,066B,192
043M,066M,661
017S,066S,402
071V,066V,176
104V,066V,193
012A,067A,151
068A,067A,129
069A,067A,292
070A,067A,157
046B,068B,105
083B,068B,113
093B,068B,407
031S,068S,289
042S,068S,273
029V,068V,231
119B,069B,300
121B,069B,252
240B,069B,183
314B,069B,141
315B,069B,601
322B,069B,155
323B,069B,212
324B,069B,360
020M,069M,133
025S,069S,486
039S,069S,196
106S,069S,233
066V,069V,130
071V,069V,131
117V,069V,247
25BI,06BI,232
26BI,06BI,196
05BU,06BU,209
30BU,06BU,101
05CE,06CE,161
59CO,06CO,252
07CR,06CR,105
34CR,06CR,114
20CZ,06CZ,153
07GC,06GC,107
38GC,06GC,146
57GC,06GC,261
55GI,06GI,128
59GR,06GR,128
67GR,06GR,179
20HS,06HS,157
04JA,06JA,128
30JA,06JA,123
08LE,06LE,125
46LE,06LE,214
47LE,06LE,420
49LE,06LE,105
01ME,06ME,122
02ME,06ME,216
03ME,06ME,639
04ME,06ME,239
05ME,06ME,278
07ME,06ME,502
61MU,06MU,317
64MU,06MU,941
65MU,06MU,260
04TO,06TO,126
36VA,06VA,184
37VA,06VA,219
11VI,06VI,133
13VI,06VI,132
067A,070A,108
068A,070A,141
069A,070A,156
048B,070B,103
060B,070B,497
071B,070B,357
244B,070B,183
111V,070V,128
133V,070V,119
165V,070V,171
048B,071B,124
070B,071B,304
019S,071S,104
066V,071V,138
069V,071V,112
104V,071V,161
231B,072B,703
232B,072B,191
233B,072B,384
235B,072B,280
308B,072B,240
309B,072B,443
045M,072M,279
288M,072M,323
289M,072M,119
052S,072S,100
059S,072S,538
112S,072S,270
114S,072S,310
074A,073A,186
075A,073A,323
076A,073A,120
253B,073B,276
255B,073B,107
256B,073B,143
077M,073M,179
145V,073V,136
022A,074A,135
073A,074A,267
075A,074A,397
002B,074B,269
129B,074B,478
145B,074B,411
078M,074M,103
101V,074V,165
162V,074V,185
073A,075A,337
074A,075A,257
076A,075A,212
086B,075B,102
053M,075M,136
133M,075M,125
076S,075S,135
077S,075S,233
082S,075S,169
096S,075S,175
089V,075V,251
039A,076A,183
073A,076A,124
075A,076A,259
061B,076B,142
078S,076S,109
080S,076S,222
104S,076S,140
032V,076V,120
061V,076V,101
078A,077A,504
080A,077A,132
081A,077A,328
083A,077A,294
094B,077B,120
128B,077B,243
073M,077M,131
075S,077S,137
094S,077S,160
046V,077V,437
098V,077V,140
140V,077V,189
149V,077V,358
077A,078A,685
081A,078A,375
082A,078A,255
083A,078A,291
077B,078B,175
094B,078B,100
097B,078B,271
074M,078M,101
079M,078M,194
122M,078M,136
076S,078S,105
079S,078S,188
080S,078S,102
080A,079A,244
083A,079A,454
027B,079B,278
39GI,079B,118
078M,079M,226
289M,079M,106
078S,079S,168
080S,079S,338
081S,079S,474
097S,079S,171
098S,079S,231
099S,079S,233
113V,079V,128
125V,079V,139
02AV,07AV,166
26BU,07BU,108
30BU,07BU,121
58CO,07CO,173
06CR,07CR,117
08CZ,07CZ,282
15CZ,07CZ,136
64CÑ,07CÑ,153
06GC,07GC,150
38GP,07GP,176
21BA,07HU,115
35JA,07JA,111
36JA,07JA,139
37JA,07JA,291
28LU,07LU,136
06ME,07ME,440
11OU,07PO,129
02SA,07SA,110
27SA,07SA,114
33SA,07SA,125
079A,080A,352
081A,080A,260
083A,080A,320
035B,080B,148
076S,080S,181
079S,080S,302
081S,080S,414
104S,080S,108
046V,080V,336
121V,080V,234
078A,081A,160
080A,081A,264
082A,081A,345
083A,081A,259
011B,081B,156
046B,081B,236
062B,081B,167
109B,081B,102
033M,081M,169
068M,081M,104
088M,081M,346
097M,081M,246
124M,081M,126
125M,081M,257
079S,081S,336
080S,081S,332
098S,081S,114
103S,081S,115
112V,081V,265
161V,081V,182
081A,082A,128
083A,082A,141
047B,082B,336
138B,082B,180
040M,082M,326
075S,082S,118
083S,082S,179
093S,082S,195
104S,082S,306
017V,082V,114
018V,082V,134
036A,083A,421
062A,083A,530
077A,083A,1138
078A,083A,867
079A,083A,2961
080A,083A,1868
081A,083A,1807
082A,083A,1298
116A,083A,426
084M,083M,287
087M,083M,192
082S,083S,226
085S,083S,152
088S,083S,253
090S,083S,140
104S,083S,179
047V,083V,189
135V,083V,275
008A,084A,123
305B,084B,127
306B,084B,269
307B,084B,320
083M,084M,338
085M,084M,203
024S,084S,187
085S,084S,348
086S,084S,426
130V,084V,121
144V,084V,143
013B,085B,105
095B,085B,422
116B,085B,129
134B,085B,466
083M,085M,129
084M,085M,303
086M,085M,353
024S,085S,187
048S,085S,104
083S,085S,132
084S,085S,174
086S,085S,179
087S,085S,394
088S,085S,131
140V,085V,367
054A,086A,262
075B,086B,298
102B,086B,742
133B,086B,194
213B,086B,465
301B,086B,121
083M,086M,125
085M,086M,235
087M,086M,244
084S,086S,250
085S,086S,233
088S,086S,426
120V,086V,191
139B,087B,192
083M,087M,547
084M,087M,197
086M,087M,414
085S,087S,151
089B,088B,139
089M,088M,385
090M,088M,258
091M,088M,868
125M,088M,505
126M,088M,209
083S,088S,136
085S,088S,140
086S,088S,236
057V,088V,131
016B,089B,353
088B,089B,289
088M,089M,277
090M,089M,1037
091M,089M,107
117M,089M,332
207M,089M,109
048S,089S,152
085S,089S,110
090S,089S,340
091S,089S,179
093S,089S,110
051V,089V,197
075V,089V,316
21AS,08AS,143
72AS,08AS,141
73AS,08AS,711
44CC,08CC,131
13CO,08CO,145
33JA,08CO,108
07CZ,08CZ,163
09CZ,08CZ,314
15CZ,08CZ,212
19GC,08GC,595
09LU,08LU,127
19MA,08MA,204
25MU,08MU,100
33MU,08MU,204
68MU,08MU,164
31PO,08PO,124
38PO,08PO,106
10SO,08SO,181
16TF,08TF,144
10TO,08TO,105
021A,090A,109
030B,090B,127
031B,090B,157
088M,090M,122
089M,090M,637
091M,090M,401
048S,090S,101
083S,090S,151
089S,090S,531
091S,090S,232
092S,090S,126
099V,090V,432
102V,090V,290
116V,090V,317
118V,090V,247
121V,090V,289
124V,090V,264
128V,090V,257
132V,090V,120
138V,090V,142
139V,090V,569
141V,090V,708
154V,090V,195
065A,091A,125
098A,091A,186
088M,091M,665
090M,091M,650
107M,091M,277
125M,091M,119
126M,091M,580
119V,091V,211
122V,091V,350
138V,091V,118
158V,091V,257
003A,092A,191
021A,092A,156
087A,092A,302
088A,092A,341
089A,092A,142
090A,092A,520
093A,092A,167
11MU,092A,376
093M,092M,122
094M,092M,100
095M,092M,147
089S,092S,121
090S,092S,110
091S,092S,141
093S,092S,204
136V,092V,103
148V,092V,133
004A,093A,132
088A,093A,142
089A,093A,105
092A,093A,101
37MU,093A,106
046B,093B,163
068B,093B,416
082S,093S,191
089S,093S,117
092S,093S,240
110S,093S,250
112S,093S,176
001V,093V,162
037A,093V,157
142V,093V,248
095A,094A,387
096A,094A,475
077B,094B,179
135B,094B,140
092M,094M,246
093M,094M,139
095M,094M,153
036S,094S,250
077S,094S,182
095S,094S,231
096S,094S,275
059V,094V,126
063V,094V,335
126V,094V,102
160V,094V,828
165V,094V,303
094A,095A,253
096A,095A,118
013B,095B,126
085B,095B,408
096B,095B,199
134B,095B,193
038M,095M,145
092M,095M,592
093M,095M,174
094M,095M,451
53TO,095M,114
094S,095S,141
096S,095S,182
047A,096A,134
094A,096A,1322
095A,096A,419
106A,096A,309
112A,096A,172
095B,096B,351
075M,096M,113
075S,096S,108
094S,096S,215
095S,096S,254
112S,096S,179
054V,096V,146
098A,097A,981
099A,097A,578
016B,097B,103
078B,097B,146
265B,097B,200
266B,097B,221
081M,097M,247
123M,097M,238
131M,097M,158
079S,097S,162
098S,097S,427
099S,097S,129
100S,097S,154
160V,097V,369
165V,097V,175
001A,098A,108
091A,098A,124
097A,098A,591
009B,098B,111
083B,098B,181
029M,098M,458
045M,098M,563
057M,098M,124
079S,098S,315
081S,098S,161
097S,098S,565
099S,098S,119
046V,098V,507
077V,098V,128
140V,098V,220
097A,099A,511
027B,099B,219
058B,099B,441
100M,099M,648
101M,099M,619
078S,099S,116
079S,099S,370
097S,099S,273
098S,099S,184
139V,099V,164
141V,099V,251
10AL,09AL,101
40GR,09AL,118
13BA,09BA,159
13BI,09BI,165
50BI,09BI,150
51BI,09BI,161
58BI,09BI,214
24BU,09BU,126
23CA,09CA,152
37CC,09CC,102
13CO,09CO,126
28CS,09CS,110
08CZ,09CZ,433
15CZ,09CZ,320
20GC,09GC,118
32JA,09GR,121
34JA,09JA,217
43LL,09LL,160
08LU,09LU,131
10MA,09MA,137
12MA,09MA,123
54MA,09MA,114
34MU,09MU,295
10PO,09PO,141
25SA,09SA,122
46TA,09TA,120
23TF,09TF,480
26TF,09TF,274
08TO,09TO,114
10TO,09TO,108
41BI,09VI,176
59ZA,09ZA,149
01ZM,09ZM,136
22ZM,09ZM,106
102A,100A,100
108A,100A,111
115A,100A,315
116A,100A,176
065M,100M,249
099M,100M,498
101M,100M,393
272M,100M,101
081S,100S,186
097S,100S,545
098S,100S,248
099S,100S,139
102S,100S,105
103S,100S,165
106S,100S,124
107S,100S,230
109S,100S,102
130V,100V,163
156V,100V,386
161V,100V,212
100A,101A,101
102A,101A,264
103A,101A,164
111A,101A,136
056B,101B,127
120B,101B,131
122B,101B,488
065M,101M,454
099M,101M,371
100M,101M,645
102S,101S,222
103S,101S,377
104S,101S,164
107S,101S,134
015V,101V,102
029V,101V,213
074V,101V,382
085V,101V,123
114V,101V,256
125V,101V,118
162V,101V,1038
101A,102A,319
103A,102A,266
086B,102B,603
131B,102B,140
301B,102B,549
103M,102M,183
086S,102S,159
088S,102S,173
101S,102S,397
107S,102S,269
090V,102V,131
099V,102V,155
139V,102V,560
141V,102V,135
148V,102V,210
102A,103A,124
104A,103A,144
105A,103A,174
106A,103A,121
109A,103A,146
110A,103A,335
111A,103A,141
061B,103B,100
102M,103M,481
104M,103M,235
105M,103M,436
107M,103M,108
115M,103M,120
101S,103S,281
030V,103V,255
088V,103V,117
095V,103V,106
164V,103V,110
103A,104A,233
105A,104A,346
107A,104A,132
102M,104M,102
103M,104M,111
107M,104M,201
076S,104S,116
082S,104S,200
083S,104S,100
101S,104S,265
103S,104S,162
048V,104V,176
066V,104V,171
071V,104V,136
103A,105A,219
104A,105A,511
106A,105A,341
107A,105A,156
110A,105A,250
035B,105B,136
049M,105M,111
103M,105M,365
104M,105M,182
107M,105M,204
108M,105M,139
109M,105M,537
115M,105M,144
024S,105S,184
108S,105S,252
109S,105S,703
020V,105V,101
022V,105V,213
047A,106A,200
096A,106A,126
103A,106A,198
105A,106A,251
109A,106A,491
104M,106M,142
105M,106M,100
107M,106M,153
069S,106S,118
107S,106S,156
108S,106S,105
